,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
80,"""Chinese managers do not know US market""",I worked at Huawei Technologies full-time,"Challenging work, good pay, used to be a fun place to work","HQ sent over a  ""Tiger"" team that was supposed to take over US the market and land retail sales contracts with American carriers.  This team instead turned out to be composed of kittens with no backbone. As a result, they have failed and are now under political pressure to abandon the US market.  They became arrogant and ignored valuable advice from seasoned professionals.",1.0,1.0,1.0,4.0,1.0
81,"""Project Manager""",I have been working at Huawei Technologies full-time,Full of resources at least.,"Low budget, lack of advancement",2.0,3.0,3.0,3.0,2.0
82,"""Worse Company I have worked for in my 40 year career""",I worked at Huawei Technologies full-time for more than a year,Good Technology at half the price,"- Good Technology at half the price
- Chinese Army",1.0,1.0,2.0,3.0,2.0
83,"""Never boring - the technological advances are amazing.""",I have been working at Huawei Technologies full-time for more than 5 years,"Huawei gives you the best opportunities to work on cutting edge technology projects in a collaborative, fast paced environment. You never get bored here.","Huawei is a global Chinese company, not an international company.  Management practices are maturing, but localization is still a struggle.",4.0,2.0,2.0,4.0,3.0
84,"""Huawei: Copy and Paste Company""",I have been working at Huawei Technologies full-time,"Decent Pay

They pay well for the US employees they can lure from top companies like Apple , but those employees don't stay long","No Innovation
No Leadership
No Integrity
They don't understand that they can't run the US staff like they control the China staff
Going nowhere in the US
China controls everything

If you're Chinese and have come to the US to run from China and reap the benefits, then you'll be fine here.

If you're ok with a company that only looks to copy and paste what US companies have already done, then Huawei US is the place for you.  

If you're ok with a lot of whispering in Chinese and a company with no leadership or direction in the US, then Huawei is the place for you",2.0,1.0,1.0,3.0,1.0
85,"""analyst""",I worked at Huawei Technologies full-time for more than 3 years,given right credit for the work accomplished,could sometimes be micro managed,3.0,3.0,5.0,4.0,4.0
86,"""Poor career growth for US employees""",I have been working at Huawei Technologies full-time for more than 8 years,No need to show up for work everyday and nobody cares,No visibility with HQ decision makers. Expats are here for short-term assignments and no interest to grow local talents,3.0,1.0,1.0,3.0,1.0
87,"""business management""",I worked at Huawei Technologies full-time,"international company, a lot of opportunity to develop your skills in different positions.",high pressure and high demand working.,5.0,5.0,5.0,5.0,5.0
88,"""It support specilist""",I have been working at Huawei Technologies ,good salary with bonus and free gym,no improvement and stay with the same position forever,5.0,5.0,2.0,5.0,5.0
89,"""documentations""",I worked at Huawei Technologies full-time,Environment and professional skills. Its a good place to learn about different subjects,They don't like to spend to much time teaching.,3.0,4.0,4.0,4.0,3.0
90,"""Less employees for huge job""",I worked at Huawei Technologies ,Working with huawei groom employees by doing lot of extra work,Huawei End to end solution help you understanding knowledge about other technologies,1.0,2.0,4.0,1.0,1.0
91,"""Customer support engineer""",I have been working at Huawei Technologies full-time for more than 8 years,Can learn a lot of technologies,Hard to balance work/life. Very demanding job.,1.0,2.0,3.0,5.0,2.0
92,"""Just a big Chinese company (not a Global Company)""",I worked at Huawei Technologies full-time for less than a year,The compensation is good (comparable to market),"lack of organization, poor management, poor work balance",1.0,2.0,3.0,5.0,1.0
93,"""financial analyst""",I worked at Huawei Technologies full-time,good pay for simple job,no benefit at all and no outlook at all,1.0,1.0,1.0,4.0,1.0
94,"""Huawei Technology Work Enviornment""",I worked at Huawei Technologies full-time for more than 3 years,At Huawei you hard room for creativity,Tough to communicate at times with Chines staff,3.0,3.0,3.0,3.0,3.0
95,"""Great place for growth, but hard to communicate""",I have been working at Huawei Technologies full-time for less than a year,The company has a lot of technology and strong R&D backing. Lots of potentials to grow your career if you have the ability communicate with them (in Chinese).,"- Unless you are Chinese you will have a difficult time interacting with overseas colleagues as many times they don’t trust you and provide you the work. 

- Lack of trust in oversea employees. Need the ability to gain their trust first. 

- Poor communications from management. 

- Almost no collaboration or teamwork.",3.0,1.0,4.0,4.0,1.0
96,"""Thieves of Intellectual Property""",I have been working at Huawei Technologies full-time for more than a year,"High Compensation, interesting ""wolf culture"" if you are able to  last here.  You will travel to China and enjoy great food.","Huawei, with its military background, tends to have a culture that can encourage a battlefield-like mentality. This culture is often referred to at Huawei as “wolf culture,”  It is culture of cheating, lying, stealing Intellectual Property, stealing designs from one another. ""Kill or be killed""

High level US employees are  hired to steal US Intellectual Property. They will tell you that it is not a case during an interview.  2-3 weeks on the jobs you will be threatened with job loss if you do not provide product design of your previous employer. Once they have all they need you will be promptly terminated. People work here 1-3 years.

It is most unethical company I ever worked for. They are currently less then 900 US employees, They hire 300 a year and they currently have 250 openings. You do the math how long you will last :)

Avoid this horrible company.",1.0,1.0,1.0,3.0,1.0
97,"""Huawei is great but...""",I have been working at Huawei Technologies full-time,"Challenging and rewarding (Bonus and retention payouts) if the project succeeds, Huawei has respect across the world, very cutting edge and a formidable competitor.",Chinese management is always in panic mode and experienced advice is often ignored.,1.0,4.0,3.0,4.0,3.0
98,"""Engineer""",I have been working at Huawei Technologies full-time,Good company  to work for.,None none none none  none,3.0,5.0,3.0,5.0,3.0
99,"""Incident Management Analyst""",I worked at Huawei Technologies part-time,"Good working environment with benefits, dedicated staff and management","Bureaucracy, eye-service, a lot of work",4.0,5.0,3.0,3.0,4.0
100,"""No Value For Human Life""",I worked at Huawei Technologies full-time for less than a year,The company pays much more than the industry average.  This high pay should have been a sign  Pay,"1. Company does not value employee health and wellbeing .  During the Japan nuclear disaster in Fukushima Daiichi they request there employees to go into the highly radio active zones that people where told to leave.  they where sharing this in PowerPoint slides in Solar to customers in US to show them how much they value the customer.  yet this concept of valuing employee does not mean anything to them.
2. Huawei hacked into my Linked-in Account and put that I am working for them.  Someone at Huawie did this after sending several emails to employee.  after the final email from someone in China stating that ""Please update your Linked-in Account with Huawei or I will get in trouble"".
3. No following US HR rules (vacation, maternity leave, etc.).  when I request time off to spend with my pregnant wife I was told over the phone that technically I cannot say no but the senior management will not like this and this can impact you in a negative way.",1.0,1.0,3.0,5.0,1.0
101,"""Tough to sell in the US market""",I worked at Huawei Technologies full-time for more than a year,Large global company with hardware that works.,"No dedication to the US, and no advertising. Cannot sell to the US Government. Preference to China origin employees rather than US citizens.",2.0,2.0,2.0,2.0,2.0
102,"""Assistant Product Manager""",I worked at Huawei Technologies full-time,- Challenging environment but I was lucky to get a good team leader,"- Time difference with HQ is a major problem
- Unstructured organization",3.0,4.0,3.0,4.0,4.0
103,"""senior software engineer and product manager""",I worked at Huawei Technologies full-time,"working there , you can got more opportunities",workload in there is hard and usually you fell tired,2.0,4.0,5.0,5.0,4.0
104,"""Good Products - Poorly led Company""",I worked at Huawei Technologies full-time for more than 5 years,Quality products.  Good pay and bonuses.,"Heavy hand of China, no US led strategy.  US Management team are mere figureheads.  Career paths are non existent. Typical Chinese company that neither trusts its employees or values customer relationships.",2.0,2.0,1.0,4.0,1.0
105,"""Great technology - China HQ controlled""",I worked at Huawei Technologies full-time for more than 5 years,"World Class Technology, some of the best engineering. Great R&D,","100% controlled by Huawei HQ in China.  Zero US executive influence. 
Employees are secondary.",1.0,2.0,1.0,4.0,2.0
106,"""Mostly positive but room for improvement (for Bangladesh branch)""",I worked at Huawei Technologies full-time,"-Structured projects, driven work force
-good starting salary for Engineers
-calm work environment, minimal drama","-low amount of facilities (company cars not available when needed for meetings)
-extremely low overtime salary, overtime not counted unless one stays more than 3 hours
-terrible services for females (the prayer room for females doubled as storage room)",3.0,4.0,4.0,2.0,3.0
