,pro,con
1006,,management team
1007,,department
1008,,internal audit
1009,,the right experience
1010,,this size
1011,,something
1012,,hr
1013,,doenst
1014,,anythigng
1015,,problems
1016,,good hr department
1017,,the problems
1018,,this department
1019,,every year
1020,,the good people
1021,,the internal audit team
1022,,thing
1023,,the rugs
1024,,management competence
1025,,the surveys
1026,,frequent resource actions
1027,,the north america services organization
1028,,good area
1029,,all big companies
1030,,bad pockets
1031,,this team
1032,,new org charts
1033,,official announcements
1034,,applications
1035,,the first time
1036,,blatant unfairness
1037,,meaningful charitable contributions
1038,,one person
1039,,quite large donation
1040,,the charity website
1041,,the paths
1042,,success
1043,,hard work
1044,,or
1045,,brown nose
1046,,the only way
1047,,only favorites
1048,,the awful game
1049,,the recent organizational promotions
1050,,zero regard
1051,,fairness
1052,,an opportunity
1053,,more qualified management
1054,,no surprises
1055,,the same rules
1056,,folks
1057,,the vacation policy
1058,,no consequences
1059,,those folks
1060,,every day
1061,,pto
1062,,some holidays
1063,,the system
1064,,professional dress code
1065,,the while
1066,,high school speeches
1067,,dress code
1068,,the folks
1069,,these things
1070,,the price
1071,,an ethical place
1072,,the actions
1073,,values
1074,,fair place
1075,,some good pockets
1076,,america services
1077,,no one
1078,,the changes
1079,,more fake management
1080,,sudden payment plan changes
1081,,quarterly coverage changes
1082,,workplace moral
1083,,purpose
1084,,unequal work load
1085,,the floor lack
1086,,any sort
1087,,clear vision
1088,,the worst management
1089,,tv shows
1090,,passive aggressive
1091,,gym kind
1092,,prime time hours
1093,,cafeteria limited
1094,,international business machine corporation
1095,,personnel
1096,,own path
1097,,no real education plan
1098,,senior staff
1099,,org changes
1100,,market value
1101,,executive ranks
1102,,vp level
1103,,the geography level
1104,,big missteps
1105,,global executive levels
1106,,product development lifecycle
1107,,specific markets
1108,,multiple managers
1109,,the same project
1110,,constant change
1111,,advance
1112,,laterally
1113,,global clock
1114,,marketplace
1115,,the curve
1116,,solution development
1117,,october layoffs
1118,,financial troubles
1119,,senior leadership team
1120,,consistent strategy
1121,,complex
1122,,resourced
1123,,promotion possibilities
1124,,narrow channels
1125,,advancement
1126,,unpredictable job security
1127,,difficulty
1128,,the right message
1129,,the right time
1130,,the right people
1131,,interesting products
1132,,process
1133,,strong leadership
1134,,musical chairs
1135,,preschool
1136,,inability
1137,,given strategy
1138,,sales goals
1139,,some hard times
1140,,long term contractors
1141,,wealth
1142,,knowledge
1143,,full time employees
1144,,the business
1145,,god
1146,,internal
1147,,other ways
1148,,bypass china
1149,,bureaucracy
1150,,huge company
1151,,gossip
1152,,circle
1153,,ergonomics
1154,,malice
1155,,the statement
1156,,no team
1157,,datacenter straight
1158,,such changes
1159,,clash
1160,,territory
1161,,some shady activities
1162,,order
1163,,complete orders
1164,,orders
1165,,the door
1166,,director
1167,,north american sales
1168,,bully
1169,,moron
1170,,customer first
1171,,october 31
1172,,this year
1173,,48 patents
1174,,any patents
1175,,rights
1176,,the patents
1177,,career growth
1178,,too many questions
1179,,every front
1180,,no underlying support
1181,,this program
1182,,bureaucracy levels
1183,,constant fear
1184,,resource actions
1185,,what company
1186,,division
1187,,growth concerns
1188,,office politics
1189,,cultural differences
1190,,tech issues compensation
1191,,sometimes we
1192,,chinese culture
1193,,lean expenses
1194,,more work
1195,,less people
1196,,and
1197,,former ibmers children
1198,,merit
1199,,qualifications
1200,,regard
1201,,extreme issues
1202,,diversity african americans
1203,,outside sales roles
1204,,executive leadership
1205,,these roles
1206,,refusal
1207,,the lower base
1208,,no kind words
1209,,corruption
1210,,government
1211,,political dissidents
1212,,an hr award
1213,,provincial police departments
1214,,surveillance software
1215,,racism
1216,,all races
1217,,an inflated sense
1218,,no consideration
1219,,many employees
1220,,constant talk
1221,,opportunity
1222,,political games
1223,,complete ineptitude
1224,,technical disciplines
1225,,the marketing field
1226,,no hard analysis
1227,,marketing data
1228,,stuff
1229,,no hard skills
1230,,vague business
1231,,complete disregard
1232,,real condescending
1233,,real work
1234,,attention
1235,,weaknesses
1236,,parity
1237,,the possibilities
1238,,workload
1239,,less staff
1240,,the opportunities
1241,,competition
1242,,poor senior management
1243,,small segment
1244,,accounting
1245,,scope
1246,,many political games
1247,,superiors
1248,,too hierarchical
1249,,unnecessary addition
1250,,tier 1s
1251,,tier 2s
1252,,frequent
1253,,senior leaderships
1254,,hq
1255,,the outdated way
1256,,the inside team
1257,,long
1258,,career progression
1259,,work life
1260,,early am
1261,,late pm
1262,,sometimes past 11 pm
1263,,tough
1264,,asia
1265,,the low
1266,,some product teams
1267,,the competition
1268,,clear path
1269,,then
1270,,timing
1271,,other days
1272,,path
1273,,straightforward conversations
1274,,individual development
1275,,education
1276,,weird turn
1277,,supplier problems
1278,,customers
1279,,some disciplines
1280,,the results
1281,,vp
1282,,the middle
1283,,meeting
1284,,limited growth opportunities
1285,,less flexibilty
1286,,home
1287,,the holidays
1288,,extra work
1289,,global company
1290,,fast
1291,,the reward
1292,,the extra work
1293,,questionable business direction
1294,,the past three years
1295,,compensation impacts
