,pro,con
28272,competitive salary,intern
28273,flexible work schedule,cut
28274,many jobs,throat
28275,decent benefits,environment
28276,benefits,you
28277,life balance work,the innovation
28278,home,you
28279,the people,no
28280,awesome people,career
28281,great owners,development
28282,awesome people,no
28283,there,no room
28284,life,advancement
28285,you,management
28286,work ethics,all levels
28287,innovation,no idea
28288,skills,it
28289,people,the desired results
28290,appreciation,attention
28291,employees,those
28292,innovative opportunities,experience
28293,profiles,nothing
28294,better roles,the
28295,good learning opportunities,everything
28296,overall,square
28297,place,round holes
28298,excellent opportunities,no thought
28299,growth,the client
28300,organization,it
28301,some prestige,the desired results
28302,employment equality,managers
28303,diversity,one agenda
28304,health benefits,themselves
28305,ptos,the expense
28306,401k,no say
28307,flexible work environment,things
28308,that,the ceo
28309,large network,several emails
28310,professionals,the actual operation
28311,work,the company
28312,home,more
28313,you,herself
28314,new challenges,the bottom line
28315,themselves,employees
28316,it,benefits
28317,great benefits,everything
28318,the pros,the company
28319,the job,the expense
28320,there,the employee
28321,lot,the title
28322,great people,it
28323,,
28324,support,bad relationship
28325,we,
28326,the work,all perspective
28327,great place,reasonable people
28328,love,
28329,it,some therapy
28330,they,the position
28331,good companies,
28332,good,
28333,,
28334,some,no career
28335,brilliant good people,growth
28336,ibm,
28337,great place,
28338,good flexibility,
28339,work,another project
28340,large company,months
28341,upward mobility,
28342,what area,it
28343,you,another project
28344,it,such big company
28345,ibm,lot
28346,good culture,red tape
28347,,sales training
28348,,work load
28349,there,nothing
28350,large layoffs,other work environments
28351,the past,average compensation
28352,profits,bad community business units
28353,job security,silos
28354,,recent transformation
28355,teamwork,career growth
28356,fellow employees,same location
28357,matter,low morale
28358,everyone,lack
28359,someone,executive communication
28360,team,excess
28361,,random downsizing
28362,decent compensation,low morale
28363,good benefits,fear
28364,,job
28365,strong company reputation,reactive
28366,that,stress
28367,recent years,growth
28368,,the company
28369,ibm research,career growth
28370,top notch,the required skills
28371,,promotions
28372,team lead,frustrating process
28373,ibm,layoffs
28374,experience,the company
28375,amazing work culture,risk
28376,work,financial reasons
28377,life balance,strong performance
28378,great benefits,impersonal
28379,various industry exposure,many changes
28380,paycheck,acquisition
28381,good company,different bosses
28382,decades,2 month period
28383,ago,constant change
28384,new things,territories
28385,flexibility,culture clash
28386,the pros,ibm
28387,great fun,end
28388,exciting learning opportunity,quarter
28389,you,month
28390,great manager,some
28391,the ibm experience,the corporate systems
28392,general management skills,email
28393,watson,question
28394,ibm research offerings,support
28395,rep,big company
28396,place,there
28397,not micromanage,no cons
28398,progressive,this organization
28399,the technology side,any large corporation
28400,they,the crowd
28401,lot,red tape
28402,projects,the company
28403,work,hard decisions
28404,home,result
28405,brand awareness,the company
28406,people,him
28407,wonderful company,success
28408,people,you
28409,great company,the ax
28410,the freedom,that
28411,the company,the facts
28412,it,pay
28413,huge company,company trajectory
28414,many many different benefits,career growth
28415,great,minimal interaction
28416,salary,manager
28417,insurance,
28418,discounts,experienced limited direction
28419,etc,frquent layoffs
28420,great benefits,base salary
28421,benefits,bonuses
28422,time,high performers
28423,they,locations
28424,there,ibm
28425,room,lots
28426,time,legacy stuff
28427,,sometimes you
28428,great professionals,the size
28429,technology roadmap,the company
28430,brand name,you
28431,recognition,few
28432,people,any
28433,the team concept,low percentage
28434,philosophy,benefits
28435,ibm,no one
28436,world class,it
28437,opportunity,less
28438,advancement,that
28439,you,poor leadership
28440,yourself,watson health people
28441,retirement matching,hiring freeze
28442,great work environment,many
28443,one oif,these positions
28444,the top corporations,meaningless bureaucracy people
28445,the world,most
28446,women,the ones
28447,high performers,colocation
28448,lower levels,shoulder
28449,lots,work
28450,opportunities,no sense
28451,any person,half the team members
28452,company,india
28453,amazing programs,everyone
28454,these,it
28455,corporate service corps,older
28456,corporate,layoffs
28457,version,replacement
28458,the peach corps,experienced staff
28459,you,inexperienced staff
28460,,reorgs
28461,developing country,business
28462,good maternity,units
28463,weeks,headquarters
28464,pay,fewer employees
28465,legacy,more work
28466,,person
28467,you,lousy help
28468,the gts business unit,desk support
28469,work location,all applications
28470,hour flexibility,american jobs
28471,you,constant anxiety
28472,the job,job
28473,it,those 50 years
28474,now,target
28475,good health benefits,lousy executives
28476,family coverages,nothing
28477,lot,more powerpoint decks
28478,amazing individuals,the current execs
28479,ibm,poor decisions
28480,the people,they
28481,dedication,executives
28482,clients success,the people
28483,way,the work
28484,life,it
28485,ibm,those
28486,it,the 3x
28487,it,year layoffs
28488,we,one week
28489,great people,severance
28490,values,each year
28491,they,service
28492,high salary,now everyone
28493,people,30 days
28494,few working experience,ibm glory days
28495,the room,no way
28496,growth,21 quarter slump
28497,the company,the current executive team
28498,some,an ibmer
28499,great company,remote workers
28500,they,office
28501,competitive salaries,there
28502,401k company matching,people
28503,they,projects
28504,flex time,groups
28505,real estate,the organization
28506,,the descriptions
28507,you,they
28508,me,ibm
28509,assistance,bad rap
28510,good platform great people,no negative experience
28511,you,ibm
28512,lot,offshoring
28513,smart,jobs
28514,experienced people,ibm
28515,,the
28516,lots,us
28517,activity,the global page
28518,reorgs,center
28519,you,armonk
28520,different aspects,imported contractors
28521,the business,the upper echelon
28522,different teams,management
28523,boring,the only ones
28524,room,money
28525,growth,the push
28526,fun place,more
28527,many opportunities,less
28528,they,the us salaries
28529,good care,they
28530,they,you
28531,lot,an executive
28532,training people,they
28533,great atmosphere,themselves
28534,comfortable environment,the company
28535,ibm,revenue 20
28536,,quarters
28537,projects,me
28538,difference,confidence
28539,the lives,job security
28540,ibmers,not lot
28541,clients,growth potential
28542,the world,designers
28543,two constants,low retention rate
28544,the power,work
28545,the diversity,sense
28546,people,company
28547,the energizing level,communication
28548,innovation,managers
28549,every turn,
28550,benefits,the business
28551,name recognition,lack
28552,the industry,leaders
28553,the best company,none
28554,,
28555,culture,while
28556,diversity,ibm
28557,ample opportunities,they
28558,good,nepotism
28559,balance,any form
28560,good technical work,nepotism breeds
28561,projects,depth
28562,good benefits,things
28563,home,years
28564,anywhere,poor results
28565,innovation,layoffs
28566,compensation,not valuing employees
28567,benefits,negative culture
28568,place,the environment
28569,yourself,there
28570,talented project managers,lack
28571,boundless knowledge base,trust
28572,site professional advancement,people fight
28573,available great ibm tools,there
28574,,lack
28575,ibm,respect
28576,it,experience
28577,great period,ibm
28578,,huge learning curve
28579,bi,one
28580,ibm,the main benefits
28581,great environment,ibm
28582,career,the
28583,everyone,the flexibility
28584,ibm great,home
28585,,that
28586,there,you
28587,time,people
28588,ibm,long commutes
28589,lot,most
28590,they,days
28591,it,an
28592,many people,every quarter
28593,the flexibility,you
28594,you,resource action
28595,review,another acronym
28596,review,poor performance quarter
28597,they,quarter
28598,that,too many silos
28599,pros,nothing
28600,people,timely manner
28601,first line manager,procedures
28602,the most part,too many
28603,fun,politics
28604,ibm,upper management
28605,good org culture,no advancement
28606,they,other career opportunities
28607,some great people,you
28608,technology,job security
28609,great experience,ibm
28610,benefits,the
28611,top caliber work colleagues,the office
28612,money,those
28613,good opportunities,us
28614,growth,10 years
28615,exciting technology,other locations
28616,the world,it
28617,opportunities,me
28618,an impact,this issue
28619,dynamic,there
28620,company,some flexibility
28621,integrity,six month sales plans
28622,ibm,shifting comp strategies
28623,the best,unachievable quotas
28624,,it
28625,many brilliant people,steady commissions
28626,ibm,the intense pressure
28627,there,the company
28628,flexibility,constant layoffs
28629,medical,every employee
28630,average,they
28631,technology,target
28632,employees,budget cuts
28633,innovation,customers
28634,great,the price
28635,training,reduced support resources
28636,great people,base salary
28637,overall,one
28638,there,large company
28639,lot,red tape
28640,opportunities,you
28641,ibm,salary
28642,they,too many levels
28643,great training program,management
28644,the ropes,some old tech
28645,most job roles,use
28646,finance,slow
28647,lot,process
28648,flexibility,improvement
28649,work flexibility,financial challenges
28650,work friendly,saas business model
28651,more,company
28652,exposer,benefits
28653,organization,recent changes
28654,ibm,developers
28655,it,the office
28656,various life situations,many talented engineers
28657,sick days,regular resource actions
28658,doctor,upper management
28659,visits,morale
28660,etc,layoffs
28661,management,recent college hires
28662,an employee,higher band
28663,hours,more experience
28664,,the team
28665,great colleagues,company
28666,the best thing,the fact
28667,ibm,compensation
28668,the experience,scale
28669,some,above average contributors
28670,the best,new graduates
28671,the industry,huge company
28672,experience,complex products
28673,the fact,leadership
28674,you,one thing
28675,the job,they
28676,stable,actions
28677,life balance,the company baits
28678,workplace,you
28679,technology,they
28680,edge company,reference salary
28681,person,job seeker beware
28682,ibm,this
28683,waston,the salary
28684,much,you
28685,company,most cases
28686,focus,you
28687,innovation,an incentive plan letter
28688,great employee benefits,you
28689,infusion,an
28690,saas,the reference salary
28691,loads,you
28692,possibilities,this
28693,ibm,the event
28694,good flexibility,you
28695,it,an
28696,no more work,they
28697,home,it
28698,this,you
28699,,you
28700,one,
28701,benefits,they
28702,the extra employee,that
28703,discounts,you
28704,other,commissions numbers
28705,business,it
28706,fun people,bait
28707,the people,addition
28708,ibm special,the items
28709,,the company
28710,kind,direction
28711,helpful people,the
28712,the past few years,constant reorganizations
28713,conferences,ibm
28714,vegas,december
28715,fun,
28716,especially thanks,part
28717,great coworkers,three reorganizations
28718,401k matching,this impact
28719,good initial basepay,the customer
28720,good ethics,it
28721,nice work culture,sales person
28722,most attorneys,there
28723,the exception,no opportunity
28724,two,the pipeline
28725,easy,the biggest issue
28726,workplace,all
28727,good learning environment,the morale
28728,mentorship,the organization
28729,people,an
28730,experience,this
28731,amazing people,large part
28732,staggering range,the items
28733,capabilities,things
28734,highly ethical company,ibm
28735,one,the year
28736,the best places,no justification
28737,lots,you
28738,exposure,remote employee
28739,interaction,an onsite employee
28740,good work,you
28741,life,the fact
28742,balance,ibm
28743,flexible hours,22 straight quarters
28744,lots,revenue decline
28745,resources,employees
28746,the ibm legacy,we
28747,serious danger,this
28748,only distant memory,times
28749,this company,the firm
28750,great things,new technology trends
28751,the past,company
28752,the market,management
28753,they,little new talent
28754,,senior
28755,web,levels
28756,education,loyalty
28757,work,nothing
28758,availability,ibm
28759,opportunity,it
28760,it,the bean counters
28761,,onboarding process
28762,knowledge base,too
28763,global opportunity,much travel
28764,great insurance benefits,sometimes the workload
28765,the employees,the need
28766,opportunity,many hours
28767,broad interests,60 hours
28768,loose association,week
28769,you,milestone
28770,new fields,too many
28771,it,management
28772,the strategic direction,layers
28773,you,sales execution
28774,the personal will,lack
28775,flexibility,clear messaging
28776,benefits,the client
28777,good benefits,we
28778,good teams,none
28779,more,it
28780,technologies,good place
28781,working environment,
28782,people,
28783,people,long career
28784,people,the years
28785,people,
28786,people,respect
28787,competitive salary,the individual
28788,,the years
28789,amount,the respect
28790,college,the individual
28791,access,loyalty
28792,the best training,the company
28793,that,anything
28794,person,very political
28795,health,decisions
28796,insurance,politics
28797,good reputation,the employee skill level
28798,everyone,lot
28799,they,red tape
28800,,things
28801,ibm,remote employment
28802,great training,limited number
28803,great hours,solution centers
28804,ability,it
28805,home,the crowd
28806,good,direction
28807,growth,the top
28808,opportunities,the company
28809,excellent training,the top execs
28810,all employees,too much focus
28811,hours,the equation
28812,networking,result
28813,environment,poor revenues
28814,time,many quarters
28815,management,shoemakers children
28816,you,technology
28817,the usa,employees
28818,ibm offshores jobs,laptop replacement
28819,you,not lot
28820,strategic location,internal mac support
28821,way,poor local support
28822,good team,it issues
28823,you,push
28824,ibm,years
28825,prestige,many people
28826,,distances
28827,,few sites
28828,it,bluemix
28829,decent,platform
28830,job,stability
28831,an,issues
28832,enormous brain trust,much focus
28833,it,design
28834,new ideas,the big picture
28835,huge portfolio,product
28836,products,lot
28837,technology,you
28838,there,one technology
28839,good chance,they
28840,you,you
28841,it,somewhere else
28842,benefits package,no
28843,,bonus
28844,fairly stable company,the base pay
28845,ibm,you
28846,place,the base pay
28847,one,work
28848,,home model
28849,there,401k match
28850,lot,the company
28851,ibm,this
28852,the area,you
28853,cognitive analytics,several divisions
28854,smart people,the same thing
28855,great mission statement,each other
28856,lots,not good culture
28857,work,individuals
28858,lots,matter
28859,interesting work,layoffs
28860,salary,the company
28861,time,years
28862,ibm,the days
28863,place,one
28864,you,america
28865,different job,many leaders
28866,5,roles
28867,year period,they
28868,you,significant value
28869,few,significant challenges
28870,good pay,vision
28871,stability,ability
28872,great clients,no
28873,it,top sales
28874,good company,organization
28875,good company,maniacle focus
28876,career,cost
28877,areas,layoff
28878,new hires,morale
28879,you,trust
28880,,short term financial goals
28881,you,the customer
28882,co workers,many cases
28883,benefits,the threat
28884,type,everyone
28885,work,the office
28886,company,company
28887,easy people,concept
28888,very good company,software development
28889,talented people,jobs
28890,great culture,teams
28891,pretty good perks,other countries
28892,you,company
28893,the opportunity,shell
28894,you,company
28895,lot,the usa
28896,different skills,teams
28897,an,the world
28898,the job,company
28899,the ability,lots
28900,innovative technology,contractors
28901,meaningful projects,development
28902,exposure,it
28903,everything,ft employee
28904,the technology,lots
28905,innovative company,management overhead quality
28906,edge technology,resources
28907,flexible work environment,they
28908,smart people,any effort
28909,flexible work hours,employees growth
28910,work,development
28911,home,zero investment
28912,exciting experience,terms
28913,many challenges,money
28914,,employee training
28915,ibm,way
28916,it,many
28917,an iconic brand,no growth
28918,place,opportunities
28919,opportunities,sooo big
28920,initiatives,sometimes people
28921,flexible management,the beauracratic shuffle
28922,great project,bonuses
28923,pipe line,they
28924,benefots,the
28925,learning,the marketing department
28926,every day business,all other business units
28927,some,this
28928,the top talents,we
28929,the industry,an office
28930,good compensation,us
28931,industry peers,we
28932,training,the ultimatum
28933,growth potential,the country
28934,great employer,francisco
28935,women,month
28936,strong investment,boston
28937,,another job
28938,,this decision
28939,outstanding peers,little
28940,terms,
28941,home,workforce costs
28942,vacations,those
28943,lot,families
28944,culture change,ones
28945,startup,all
28946,intellectual community,this
28947,flexibility,no increase
28948,strong leaders,salary
28949,good people,bare bones
28950,plenty,package
28951,opportunities,position
28952,possibilities,the job finder
28953,solid pay,there
28954,awesome,disparity
28955,cheap rental cars,hr
28956,work,the reality
28957,home,many teams
28958,,there
28959,they,management
28960,this,most people
28961,there,track
28962,smart people,customers
28963,it,the bureaucracy
28964,career flexibility,problems
28965,positive attribute,favor
28966,good first job,the
28967,broad introduction,they
28968,data science,most
28969,you,management
28970,great freedom,customers
28971,career direction,they
28972,good place,the guy
28973,work life balance,the hallway
28974,options,amazon
28975,projects,they
28976,lots,an immense staff
28977,project,mediocre talent
28978,international travel,most
28979,good,most
28980,training opportunities,experts
28981,salary,they
28982,important work,top technologies
28983,self fulfillment,an enormous number
28984,great company,people
28985,network,themselves
28986,some smart folks,this technology
28987,good way,all
28988,the technology industry,this technology
28989,the government sector,anyone
28990,good benefits,this
28991,vacation,we
28992,401k,projects
28993,medical,favor
28994,career opportunities,building marketing
28995,senior management,virtual worlds
28996,excellent team work,every one
28997,products,these initiatives
28998,there,the last ten years
28999,many smart people,they
29000,you,blank stares
29001,there,all this bureaucracy
29002,many opportunites,the best talent
29003,the globe,these days
29004,great benefits,mediocre staff
29005,vacation,protective
29006,name,
29007,some,part
29008,good,ibm
29009,strong history,work
29010,brand recognition freedom,brilliant
29011,management chain,agile leaders
29012,balanced work life,difference
29013,lot,the world
29014,old folks,it
29015,excellent work,huge company
29016,strong teams,it
29017,talented people,skill
29018,,things
29019,access,you
29020,opportunity,that
29021,different experts,you
29022,some,difference
29023,the smartest minds,ibm
29024,,time
29025,contact,high quality work
29026,some technology,ibm
29027,the world,home offices
29028,ways,many groups
29029,many,major ibm office
29030,us,corporate structure
29031,ibm,focus
29032,the scenes,short term returns
29033,mankinds,long hours
29034,businesses,times
29035,hand,global working relationship
29036,this thinking,dependencies
29037,these technologies,much process
29038,market,no teamwork
29039,an,no
29040,nice office,growth
29041,decent pay,opportunity
29042,flexible work,move jobs
29043,home options,the usa
29044,huge network,management
29045,people,everything
29046,sme,
29047,great leadership team,many teams
29048,flexible hours,different teams
29049,manageable location,coffee
29050,people,it
29051,people,nobody
29052,people,you
29053,many options,you
29054,career progression,ownership
29055,benefits,everybody
29056,flexibility,much hierarchy
29057,great pay,the work
29058,customers,it
29059,conferences,the facade
29060,ipad,job
29061,laptop,every day
29062,phone,2017
29063,all,
29064,employee,sas
29065,great work life balance,
29066,you,less pay
29067,time,tier2
29068,great,the pay
29069,work,you
29070,home,the size
29071,fun job,ibm
29072,bad news,everything
29073,bevy,process
29074,resources,many small issues
29075,ibm sales training,days
29076,you,there
29077,smart people side,someone
29078,side,it
29079,any,
29080,now,
29081,the fact,document
29082,there,an
29083,no sick days,certain amount
29084,say,months
29085,you,
29086,you,base pay
29087,job right,most
29088,you,months
29089,day,
29090,no one,this
29091,you,the company
29092,day,lot
29093,kids,trouble
29094,app,the acquisition
29095,some personal stuff,
29096,,the tail end
29097,you,the end
29098,the sales organization,
29099,lots,myself
29100,training tools,role
29101,education,
29102,you,the company
29103,it,me
29104,resources,part
29105,sales culture,it
29106,not cut,they
29107,throat environment,several
29108,you,me
29109,you,any sort
29110,care,compensation
29111,within the sales organization,the company
29112,you,no culture
29113,,the acquisition
29114,100,the company
29115,the 1st half,cool start
29116,2nd half,team gatherings
29117,not combination,the office
29118,you,people
29119,bahamas,droves
29120,trip,no holiday party
29121,you,no happy hours
29122,no spouse,no drinks
29123,huge ibm party,work
29124,you,no socializing
29125,you,not the best environment
29126,best,anyone
29127,ibm,strategy
29128,hawaii,project managers
29129,spouse,the users
29130,great work,none
29131,life,
29132,balance,nothing
29133,innovation,bureaucracy
29134,work life balance,things
29135,worldwide,the
29136,on,ibm
29137,amazing networking capabilities,cloud company
29138,benefits,21 quarters
29139,vision,no growth
29140,dental,it
29141,mentoring,shifting
29142,new employees,strategy
29143,emphasis,sr
29144,new skills,executives
29145,many opportunities,others
29146,new skills,to
29147,travel,not very
29148,advance,work
29149,free education,salary growth
29150,access,lowest
29151,agencies,industry
29152,still lot,things
29153,smart people,fast pace
29154,ip,the baby
29155,great place,the bath water
29156,you,non techies
29157,the right group,no room
29158,one,techies
29159,few places,techies
29160,you,this place
29161,face,ever
29162,money,work environment
29163,you,behemoth
29164,sales,you
29165,good health care,an
29166,401k matching,serial number
29167,training opportunities,crunch time
29168,travel,this
29169,good,the market
29170,salary,an ear
29171,honest reputation,the ground
29172,big company,there
29173,possibility,no downside
29174,people,more
29175,benefits,interesting products
29176,salary,week
29177,access,vacations
29178,emerging technologies,evenings
29179,ibm,the demands
29180,plenty,the sales organization
29181,online training capabilities,no respect
29182,excellent opportunities,the employee
29183,career advancement,staff
29184,hours,the performance
29185,you,the individual
29186,people,seasoned employees
29187,only the,the business
29188,training,support roles
29189,you,there
29190,time,no understanding
29191,resources,the business
29192,you,layoffs
29193,how,executive
29194,leverage,new policies
29195,them,life
29196,medical benefits,little
29197,ibm,push employees
29198,lots,they
29199,travel,it
29200,great global team,layoffs
29201,some,it
29202,the brightest people,workforce redaction
29203,the world,the side effect
29204,pride,this practice
29205,name recognition,the
29206,the,the mediocre ones
29207,use,every other month
29208,home,there
29209,work,new big strategic shift
29210,home,bcz
29211,you,they
29212,lot,it
29213,you,enough time
29214,software labs division,takeoff
29215,experienced organization,they
29216,lots,thinking
29217,historical knowledge,immediate revenue
29218,processes,
29219,work flexibility,
29220,less pressure,ibm
29221,cool work environment,you
29222,,little screw
29223,25 years,big machine
29224,ibm,they
29225,the journey,you
29226,the culture,that way
29227,core set,every day
29228,ibm values,way
29229,each area,many jobs
29230,it,too big
29231,own personality,the recent tact
29232,,employees
29233,the opportunity,city
29234,myself,one
29235,each new assignment,soft layoff
29236,,severance
29237,the opportunity,ibm
29238,home,personal time
29239,the last 15 years,decision making
29240,me,ibm
29241,the chance,strategic direction
29242,bit,it
29243,,structure
29244,the new open space,it
29245,opportunity,design
29246,projects,products
29247,fortune 500 companies,competitors
29248,the leaders,ibm
29249,,slas
29250,it,customers
29251,they,sla
29252,the workers,it
29253,contactors,no upward mobility
29254,it,technicians
29255,diverse company,several
29256,tons,year
29257,opportunities,regularly
29258,company,furloughs
29259,all,contractors
29260,it innovations,no
29261,work,bonuses
29262,home,yearly training requirements
29263,good pro,it
29264,people,upward mobility
29265,benefits,deadlines
29266,salary,delivery expectations
29267,work life balance,federal contracts limitations
29268,work,lay offs
29269,home option,bad direct management
29270,the best benefit,employees
29271,you,resource
29272,you,opportunities
29273,ibm,new businesses
29274,big organization,priorities
29275,some work,matrix mgmt
29276,you,large
29277,you,large portfolio
29278,it,it
29279,happy work,itself
29280,environment,politics
29281,people,promotion
29282,the check,management
29283,,some
29284,an upside,some
29285,they,smiling faces
29286,you,lies
29287,hours,various opportunities
29288,big upside,career
29289,call,the computer systems
29290,years,all
29291,everyone,tech company
29292,home,many
29293,that,practically zero training
29294,this place,ridiculous bc
29295,you,the systems
29296,anything else,they
29297,you,you
29298,manuals,straight answer
29299,other tech documents,anyone
29300,they,you
29301,some,the job
29302,good work environment,constant lay offs
29303,good educational opportunities,employee morale
29304,rewarding,way too
29305,,half
29306,it,attempt
29307,the best job,communication
29308,,compensation
29309,pay,you
29310,morale,the outside
29311,good,you
29312,ease,you
29313,appointments,fairly competitive salaries
29314,benefits,notable exceptions
29315,very smart peers,some
29316,great work,the
29317,life balance,
29318,team building,
29319,resources,silicon valley
29320,personal development,manager
29321,good comany,time
29322,ibm,any issues
29323,the,
29324,the planet,sellers perspective
29325,you,
29326,brilliant people,ibm
29327,anything,
29328,unlimited capabilities,years
29329,potential,
29330,the best opportunity,
29331,you,here
29332,strategic growth unit,the issues
29333,watson,you
29334,analytics,sellers role
29335,sw,ibm
29336,ability,ibm
29337,freedom,major identity crisis
29338,home,itself
29339,competitive salaries,it
29340,great location,every months
29341,south san jose,most customers
29342,salary,business
29343,the opportunity,ibm
29344,advancement,the reorgs
29345,the education,they
29346,the industry contacts,new products
29347,work,new customers
29348,education,each reorg
29349,terrible,ibm
29350,low pay,commissions
29351,long hours,they
29352,call,any hold overs
29353,all the time,bottom line
29354,great company,you
29355,it,big deal
29356,you,that
29357,you,you
29358,them,commissions
29359,you,you
29360,them,months
29361,sales goals,the subject
29362,you,commissions
29363,goals,internal disputes
29364,it,the revenue
29365,ibm,ibm
29366,comprehensive software portfolio,80
29367,the needs,the deal size
29368,many,commissions
29369,customers,they
29370,solutions,20
29371,good pay,maintenance fees
29372,lots,you
29373,resources,
29374,employees,you
29375,the location,software
29376,the lab,the moral
29377,,good people
29378,it,continuous stream
29379,reverse commute,resources
29380,lots,many cases
29381,opportunity,phone
29382,growth potential,they
29383,company,there
29384,great work culture,plenty
29385,flexible timings,other good companies
29386,good pay,you
29387,new technologies,ibm
29388,new ideas,one
29389,things,those companies
29390,the people,too big
29391,the variety,not enough accountability
29392,the customers,career
29393,that,the direction
29394,you,the company
29395,strict,archaic mindset
29396,the pay,upper management
29397,good,more layoffs
29398,salary,there
29399,great benefits,promotion
29400,good people,work space
29401,work environment,only front area
29402,benefits,clients
29403,time,profit sharing plan
29404,experience,joke
29405,401k matching,they
29406,travel,whole
29407,work,employees
29408,miles,you
29409,possible company,security
29410,iphone 5s,job layoff
29411,higher work phone,this
29412,job,the place
29413,related certification opportunities,you
29414,overtime,work life balance
29415,opportunities,work
29416,ibm,annual layoffs
29417,work,random folks
29418,the job,morale
29419,they,management
29420,fair benefits,an interest
29421,it,results
29422,good working environment,strict people
29423,experience,work life balance
29424,interesting projects,no one
29425,lot,40 hours
29426,folks,week
29427,large cross section,you
29428,industries,internal growth
29429,the organization,the evenings
29430,lots,times
29431,change,you
29432,lot,continuous cycle
29433,good people,portions
29434,good managers,the work force
29435,team members,the us
29436,good people,general concern
29437,withgood people,this
29438,withgood people,another general concern
29439,withgood people,the continuous budget cuts
29440,good carrier opportunity,the information technology area
29441,employee friendly,this
29442,flexibility,issues
29443,work life balance,growth
29444,great benefits,services
29445,great job opportunities,pockets
29446,great company,poor morale
29447,innovation,
29448,diverse global challenging autonomy reward,lots
29449,project accomplishments,lay offs
29450,recognition robust strategy,more
29451,clear vision,senior
29452,ibm,lots
29453,any,people
29454,the people,
29455,,salaries
29456,good pay rates,opportunities
29457,training,you
29458,good working conditions,head quarters
29459,good opportunities,them
29460,the business,they
29461,different locations,additional sales
29462,you,each group
29463,solid entry level pay,the firm
29464,the ibm name,quote
29465,they,the client
29466,much education training,the priority list
29467,flexible work environment,delivery
29468,work,you
29469,home,the
29470,an office opportunities,one stop shop
29471,career path,all issues
29472,internal moves,no salary increments
29473,work life balance,you
29474,salary,many years
29475,working conditions,number
29476,you,it
29477,technical job,past 15 years
29478,you,candidate
29479,computer,resource action
29480,internet connection,management
29481,phone,micro managing
29482,,the team
29483,home,negative way
29484,the last year,this
29485,,an old style
29486,we,managing
29487,the physical office,this
29488,unlimited growth opportunities,an
29489,competitive salary,it
29490,strong 401k benefits,they
29491,firm,
29492,stability,employee
29493,management,employees
29494,benefits,they
29495,smart people,work
29496,large company,turn
29497,work life balance,the customer experience
29498,respected company,none none
29499,younger people,the
29500,experience,ibm
29501,offices,you
29502,the world,regular
29503,there,static environment
29504,lots,ibm
29505,opportunities,you
29506,some,efforts
29507,the best core technology,the world
29508,benefits,you
29509,pay,the way
29510,pay,you
29511,all,it
29512,global reach,black cloud
29513,leadership development,everyone
29514,mentorship,there
29515,coworker quality,constant resource allocations
29516,lots,lay offs
29517,possibility,the next one
29518,ibm,crazy
29519,smart workforce,you
29520,good learning,hoops
29521,high base salary,20 emails
29522,great solution portfolio,day
29523,customers,internal emails
29524,ibm,the company
29525,group,post
29526,innovative solutions,this
29527,world leader,this blog
29528,technology,etc
29529,all companies,little time
29530,the entire world,the job
29531,great place,you
29532,research internships,territory
29533,phd students,changes
29534,global company,every
29535,vast number,months
29536,opportunities,company
29537,the elder people,hill
29538,you,company
29539,tremendous amount,the work
29540,knowledge,home option
29541,you,people
29542,work hours,an office
29543,you,401k matches
29544,you,end
29545,great people,year
29546,clients,you
29547,,pay
29548,lot,the company
29549,exciting things,you
29550,watson,many year
29551,etc,
29552,,you
29553,huge range ofwork,one
29554,you,pay
29555,part,one
29556,upper management,the comparative amount
29557,any ideas,work
29558,what,others
29559,big company,this position
29560,diverse opportunities,other companies
29561,company,complacent workforce
29562,work,bad work
29563,home,heavy processes
29564,direct interpersonal interactions,burden
29565,clients,the weight
29566,people,upper management
29567,professional colleagues,progression
29568,great people,each business transformation
29569,the best people,crisis
29570,ibm,new
29571,hardworking,upward mobility
29572,loyal,future outlook
29573,ibm,company
29574,,some business
29575,international,newer technologies
29576,recognized,watson
29577,fortune 500 company,it
29578,great,long commute
29579,the good work,traffic
29580,great management,the titanic
29581,work environment,slow motion
29582,opportunity,constant rumors
29583,wide range,layoffs
29584,products,now
29585,lots,limited severance program
29586,technology,month
29587,current,no matter
29588,many,service
29589,experiances,bonuses
29590,great work,industry average
29591,life,sharp declines
29592,balance,revenue
29593,good learning opportunities,stock buybacks
29594,great place,stock price
29595,lots,this
29596,resources,place
29597,ibm,those
29598,lot,all night
29599,training,constant
29600,you,focus
29601,you,the customers
29602,hard time,management isolated lack
29603,there,direction
29604,someone,catch up
29605,you,the industry
29606,help,horrible
29607,vast career ecosystem,leadership
29608,one,top executives
29609,blossom,no respect
29610,full ownership,all ibm
29611,one,the correct answers
29612,an entrapreuneur,very internal
29613,ibm,customers
29614,flexible timings,ibm
29615,specially work,they
29616,home culture,ibm solutions
29617,ibm,they
29618,other companies,location
29619,,very remote area
29620,it,it
29621,strong reason,this
29622,professionals,both
29623,there,pro
29624,lot,con
29625,opportunities,ibm
29626,40,self management employer
29627,best idea,you
29628,flexibility,some work
29629,career track,information
29630,you,the ibm maze
29631,access,tools
29632,it professionals,information
29633,ibm,it
29634,training,challenge
29635,you,it
29636,date,the lack
29637,sea,any real direction
29638,you,average salary
29639,you,nothing
29640,you,
29641,access,weight
29642,international teams,corporate
29643,,progress
29644,different colleagues,constant pressure
29645,different countries,you
