,pro,con
1401,excellent network,proper direction
1402,channel partners,company
1403,,administration
1404,good investment,sometimes management not
1405,training,touch
1406,benefits,the engineering challenges
1407,vacation,certain projects
1408,medical benefits,procurement
1409,ridiculous freedom,the research division
1410,great pay,mind
1411,brilliant,new rules
1412,an amazing organization,
1413,lot,ibm
1414,opportunities,everyone
1415,work flexibility,same page
1416,great people,nothing
1417,freedom,it
1418,you,con
1419,most,work life balance
1420,the people,it
1421,you,another position
1422,consulting,you
1423,ibm,the current one
1424,you,401k
1425,great introduction,one time
1426,technology,you
1427,projects,it
1428,the side,annual reviews
1429,short strategy projects,performance improvement plan
1430,great benefits,termination
1431,work,the reviews
1432,home,it
1433,you,comparisons
1434,collaborative team environment,others
