,pro,con
783,option,no stock
784,great 401k matching,average career progression
785,ptos,average campus
786,good company name,size
787,value,odd meeting times
788,professional development,cold calling
789,remotely,most issues
790,flexible time,customers
791,super,all works
792,trained monkey,bay area
793,top performer,every year
794,upper management,the work force
795,job mobility,the talents
796,great work environment,the latest technologies
797,friendly hands,contractors
798,flexible schedules,the first one
799,the commute traffic,full time employee
800,interesting products,the later stage
801,emphasis,kind
802,creativity,stale
803,decent culture,downtown austin
804,great development opportunities,companies
805,awesome sustainability,dt offices
806,huge bonus,employee resource groups
807,great work life balance wonderful teams,new people
808,dental,host events
809,best,one maybe
810,class development tools,great work environment
811,methodologies,young professionals
812,global teams,older people
813,successful organization,families
814,strong leadership collaborative culture,15
815,home flexibility,school
816,all different aspects,perks
817,the business,free coffee
818,everywhere,new employees
819,dell boomi,the sharks
820,90 days,part
821,the most pleasant,the club
822,process,10
823,industry,year employees
824,the management,possibly rif
825,expertise,the fact
826,an idea,multiple employees
827,theirs,negative personalities
828,an investment bank,burnout negative attitudes
829,careers,other teams
830,part,individualistic mentality
831,positive culture,direction negative connotations
832,happy employees,the younger generation
833,the corporation,not bad
834,the focus,lot hehe
835,any company,cant think
836,revenue,constant re
837,sense,org
838,the company culture,work schedule
839,energy,when
840,the services segment,the work progress
841,diverse opportunities,multiple stakeholders
842,giant company,minorities
843,many smaller companies,over yrs
844,several different roles,the same job title
845,different organizations,one grade level
846,all teaching,the discrimination
847,couldnt,jest
848,good friendly environment,person
849,helpful people,yrs
850,good pay flexible hours,someone
851,wfh,no management skills
852,day,the promotion
853,so lots,different occasions
854,separate pba,the promoted person
855,vacation allotments,no business
856,big organization,peers
857,10 annual pba days,some peers
858,accrual vacation,guy
859,style,common
860,good team,dont fall
861,building environment,very political
862,hours team leads,toxic
863,very,unprofessional work environment
864,role,good management
865,great portfolio,this venture capital company
866,full,good employees
867,any account,office politics
868,12 weeks,no pay
869,im,the day
870,manager,sales teams
871,2nd project,the leadership team
872,1x1s,methods
873,the transition,office setting
874,the merger,extensive product line
875,few perks,some job
876,the dell employee discount,high volume work
877,two computers,not bad thing
878,television,some areas
879,vouchers,some better direction
880,certification exams,the management
881,the extra work,no place
882,an aws voucher,huge organization
883,itself,no room
884,required,no assistance
885,the privilege,internal opportunities
886,nothing,bad benefits
887,anything,accommodations
888,good competitive salary,disabled employees
889,the same employer,goals
890,10 years,ethics committee
891,the type,worthless entity
892,the opportunities,dell interests
893,the dell culture,older workers
894,long way,younger workforce
895,years,kid
896,many software publishers,college
897,relationships,the higher level
898,offers,cake quotas
899,the working day,newbies
900,awesome benefits,turnover
901,development,tenured reps
902,positive influence,the door
903,dell technologies,unattainable quotas
904,the sales leadership,truth
905,training platforms,levels
906,place,upper management
907,the future,metrics
908,directions,the reps
909,great atmosphere,no clue
910,excellent sales,effect
911,technical coaching,team
912,how nimble,sales revenue
913,both large tech companies,lowest
914,ups,call numbers
915,technical opportunities,all holy hell
916,mentor ship,calls
917,the dell technologies portfolio,that executive
918,broad spectrum,the calls
919,customer scenarios,the forced metrics
920,fun place,the line
921,chances,works
922,skill,different team members
923,education inclusive culture,20
924,great employee resource groups,25
925,targets,match
926,great pay understanding,movement
927,all the way,heads
928,the top,the sales seat
929,the larger players,different role
930,town,90
931,note,sales reps
932,the star ratings,different department
933,three managers,business strategy lead
934,the same group,any other big company
935,world,parts
936,difference,risks
937,every team,new products
938,highly intelligent,mcdonald
939,great pay great benefits,the managers
940,overall fun place,some degree compensation
941,flexible pto,good fit
942,high integrity culture,average pay
943,good customer focus,minimal opportunity
944,university hire,new skills
945,small business,work load
946,the products,more training
947,quotas,middle management
948,the name dell,many areas
949,the phone,the time
950,experience,way
951,the employee,portfolio
952,open door policies,improvement
953,several benefits,medical benefits
954,transportation,the mothership
955,comfortable work environment,meeting
956,good employer,credible
957,decisions,the case
958,no pros,old school governance code
959,the worst parts,waste
960,lower cost,the box
961,other big cities,integration
962,great team members,internal job search process
963,development opportunities,limited forethought
964,stable job,account teams
965,feeling,another company
966,collaborative team,organization funding
967,great strategy,eoq
968,great job,the worst thing
969,some pressure,figures
970,the ladder,the same job function
971,the manager,worth
972,growth potential,own legacy internal systems
973,anywhere else,very stingy feeling office policies
974,nice culture,competitive pay
975,stable company,some great benefits
976,corporate setting,several weeks
977,areas,higher level positions
978,positive change,organic growth
979,the manufacturing side,the right place
980,breath,rest
